CustomerID,purchase_cnt,item_cnt,recency,user_total,user_average,unique_products,average_interval,total_transactions,cancel_frequency,cancel_rate
15944,1,50,276,325,325,6,0,1,0,0
17647,1,30,65,133,133,7,0,1,0,0
14699,1,77,214,109,109,8,0,1,0,0
16849,1,33,186,125,125,8,0,1,0,0
15447,1,85,330,155,155,9,0,1,0,0
15663,1,106,106,138,138,9,0,1,0,0
13581,1,30,309,118,118,10,0,1,0,0
17205,1,884,53,384,384,13,0,1,0,0
15143,1,150,225,259,259,14,0,1,0,0
12532,1,151,30,314,314,15,0,1,0,0
13127,1,127,77,259,259,15,0,1,0,0
12614,1,76,277,316,316,20,0,1,0,0
17985,1,171,22,631,631,20,0,1,0,0
17194,1,112,360,227,227,25,0,1,0,0
12729,1,231,113,417,417,25,0,1,0,0
12920,1,128,17,163,163,27,0,1,0,0
16574,1,416,71,451,451,28,0,1,0,0
13732,1,498,28,492,492,33,0,1,0,0
12461,1,282,154,627,627,34,0,1,0,0
18067,1,189,40,396,396,36,0,1,0,0
12617,1,210,29,353,353,39,0,1,0,0
16971,1,72,38,357,357,40,0,1,0,0
15480,1,303,116,905,905,45,0,1,0,0
14052,1,89,19,225,225,56,0,1,0,0
17976,1,93,372,322,322,56,0,1,0,0
18068,1,6,289,102,102,1,0,1,0,0
15049,1,63,273,121,121,3,0,1,0,0
17628,1,79,81,76,76,5,0,1,0,0
15405,1,193,189,349,349,8,0,1,0,0
12974,1,24,197,145,145,8,0,1,0,0
17887,1,30,129,111,111,10,0,1,0,0
14055,1,216,106,726,726,10,0,1,0,0
15327,1,116,52,209,209,10,0,1,0,0
13858,1,75,57,216,216,11,0,1,0,0
14929,1,136,32,224,224,11,0,1,0,0
15766,1,170,64,315,315,11,0,1,0,0
13986,1,430,17,320,320,12,0,1,0,0
13065,1,74,373,206,206,14,0,1,0,0
13897,1,200,50,311,311,17,0,1,0,0
14476,1,110,257,193,193,17,0,1,0,0
14413,1,67,362,121,121,22,0,1,0,0
13193,1,46,61,112,112,22,0,1,0,0
15130,1,197,169,330,330,22,0,1,0,0
15314,1,313,199,328,328,24,0,1,0,0
12591,1,225,317,369,369,25,0,1,0,0
16643,1,269,245,488,488,27,0,1,0,0
15947,1,898,82,1708,1708,29,0,1,0,0
13560,1,63,7,171,171,32,0,1,0,0
16769,1,80,260,362,362,33,0,1,0,0
15408,1,106,264,267,267,34,0,1,0,0
14598,1,189,44,222,222,49,0,1,0,0
15069,1,520,179,1110,1110,70,0,1,0,0
17102,1,2,261,26,26,1,0,1,0,0
18233,1,4,325,440,440,1,0,1,0,0
12855,1,30,372,38,38,3,0,1,0,0
13948,1,40,360,102,102,3,0,1,0,0
12445,1,60,22,77,77,3,0,1,0,0
15709,1,121,283,133,133,6,0,1,0,0
15361,1,336,361,419,419,7,0,1,0,0
17650,1,150,21,166,166,8,0,1,0,0
13638,1,93,15,123,123,8,0,1,0,0
13059,1,35,249,183,183,8,0,1,0,0
18138,1,38,295,153,153,8,0,1,0,0
13260,1,142,61,558,558,8,0,1,0,0
12732,1,110,179,218,218,11,0,1,0,0
15917,1,42,247,123,123,12,0,1,0,0
13561,1,83,215,142,142,14,0,1,0,0
15557,1,213,28,469,469,16,0,1,0,0
17343,1,56,355,194,194,17,0,1,0,0
15552,1,60,217,90,90,17,0,1,0,0
16366,1,256,18,327,327,18,0,1,0,0
14528,1,278,37,364,364,18,0,1,0,0
16483,1,44,192,139,139,19,0,1,0,0
16318,1,199,35,328,328,19,0,1,0,0
14041,1,94,266,141,141,21,0,1,0,0
